ID,VID,PLID,Type,LinkID
715,917,73,1,41453
716,918,73,2,41453
717,919,73,3,41453
718,920,73,1,41880
719,921,73,2,41880
720,922,73,3,41880
721,923,74,1,52353
722,924,74,2,52353
723,925,74,3,52353
724,926,74,1,47513
725,927,74,2,47513
726,928,74,3,47513
727,929,74,1,46302
728,930,74,2,46302
729,931,74,3,46302
730,932,74,1,51768
731,933,74,2,51768
732,934,74,3,51768
733,935,75,1,42074
734,936,75,2,42074
735,937,75,3,42074
736,938,75,1,42074
737,939,75,2,42074
738,940,75,3,42074
739,941,75,1,43540
740,942,75,2,43540
741,943,75,3,43540
742,944,75,1,42150
743,945,75,2,42150
744,946,75,3,42150
745,947,76,1,78047
746,948,76,2,78047
747,949,76,3,78047
748,950,76,1,78047
749,951,76,2,78047
750,952,76,3,78047
751,953,76,1,41561
752,954,76,2,41561
753,955,76,3,41561
754,956,76,1,41134
755,957,76,2,41134
756,958,76,3,41134
757,959,77,1,54214
758,960,77,2,54214
759,961,77,3,54214
760,962,77,1,40508
761,963,77,2,40508
762,964,77,3,40508
763,965,78,1,44219
764,966,78,2,44219
765,967,78,3,44219
766,968,78,1,47620
767,969,78,2,47620
768,970,78,3,47620
769,971,78,1,53840
770,972,78,2,53840
771,973,78,3,53840
772,974,78,1,51875
773,975,78,2,51875
774,976,78,3,51875
775,977,79,1,96862
776,978,79,2,96862
777,979,79,3,96862
778,980,79,1,78157
779,981,79,2,78157
780,982,79,3,78157
781,983,80,1,40911
782,984,80,2,40911
783,985,80,3,40911
784,986,80,1,41015
785,987,80,2,41015
786,988,80,3,41015
787,989,81,1,96760
788,990,81,2,96760
789,991,81,3,96760
790,992,81,1,96760
791,993,81,2,96760
792,994,81,3,96760
793,995,81,1,79114
794,996,81,2,79114
795,997,81,3,79114
796,998,81,1,78790
797,999,81,2,78790
798,1000,81,3,78790
799,1001,82,1,40411
800,1002,82,2,40411
801,1003,82,3,40411
802,1004,82,1,40337
803,1005,82,2,40337
804,1006,82,3,40337
805,1007,83,1,40835
806,1008,83,2,40835
807,1009,83,3,40835
808,1010,83,1,40835
809,1011,83,2,40835
810,1012,83,3,40835
811,1013,84,1,54459
812,1014,84,2,54459
813,1015,84,3,54459
814,1016,84,1,54332
815,1017,84,2,54332
816,1018,84,3,54332
817,1019,84,1,43805
818,1020,84,2,43805
819,1021,84,3,43805
820,1022,84,1,54459
821,1023,84,2,54459
822,1024,84,3,54459
823,1025,85,1,43643
824,1026,85,2,43643
825,1027,85,3,43643
826,1028,85,1,53956
827,1029,85,2,53956
828,1030,85,3,53956
829,1031,85,1,53956
830,1032,85,2,53956
831,1033,85,3,53956
832,1034,85,1,42251
833,1035,85,2,42251
834,1036,85,3,42251
835,1037,86,1,36227
836,1038,86,2,36227
837,1039,86,3,36227
838,1040,86,1,39971
839,1041,86,2,39971
840,1042,86,3,39971
841,1043,86,1,19748
842,1044,86,2,19748
843,1045,86,3,19748
844,1046,86,1,36227
845,1047,86,2,36227
846,1048,86,3,36227
847,1049,87,1,55739
848,1050,87,2,55739
849,1051,87,3,55739
850,1052,87,1,55605
851,1053,87,2,55605
852,1054,87,3,55605
853,1055,87,1,43906
854,1056,87,2,43906
855,1057,87,3,43906
856,1058,87,1,44116
857,1059,87,2,44116
858,1060,87,3,44116
859,1061,88,1,8821
860,1062,88,2,8821
861,1063,88,3,8821
862,1064,88,1,36040
863,1065,88,2,36040
864,1066,88,3,36040
865,1067,88,1,36040
866,1068,88,2,36040
867,1069,88,3,36040
868,1070,88,1,8821
869,1071,88,2,8821
870,1072,88,3,8821
871,1073,89,1,50863
872,1074,89,2,50863
873,1075,89,3,50863
874,1076,89,1,49397
875,1077,89,2,49397
876,1078,89,3,49397
877,1079,89,1,50863
878,1080,89,2,50863
879,1081,89,3,50863
880,1082,89,1,50230
881,1083,89,2,50230
882,1084,89,3,50230
883,1085,90,1,56297
884,1086,90,2,56297
885,1087,90,3,56297
886,1088,90,1,48940
887,1089,90,2,48940
888,1090,90,3,48940
889,1091,90,1,49738
890,1092,90,2,49738
891,1093,90,3,49738
892,1094,90,1,50382
893,1095,90,2,50382
894,1096,90,3,50382
895,1097,91,1,47966
896,1098,91,2,47966
897,1099,91,3,47966
898,1100,91,1,48785
899,1101,91,2,48785
900,1102,91,3,48785
901,1103,91,1,77347
902,1104,91,2,77347
903,1105,91,3,77347
904,1106,91,1,48126
905,1107,91,2,48126
906,1108,91,3,48126
907,1109,92,1,28808
908,1110,92,2,28808
909,1111,92,3,28808
910,1112,92,1,39417
911,1113,92,2,39417
912,1114,92,3,39417
913,1115,92,1,9620
914,1116,92,2,9620
915,1117,92,3,9620
916,1118,92,1,10231
917,1119,92,2,10231
918,1120,92,3,10231
919,1121,93,1,56674
920,1122,93,2,56674
921,1123,93,3,56674
922,1124,93,1,46505
923,1125,93,2,46505
924,1126,93,3,46505
925,1127,93,1,50524
926,1128,93,2,50524
927,1129,93,3,50524
928,1130,93,1,50524
929,1131,93,2,50524
930,1132,93,3,50524
931,1133,94,1,57115
932,1134,94,2,57115
933,1135,94,3,57115
934,1136,94,1,39556
935,1137,94,2,39556
936,1138,94,3,39556
937,1139,94,1,50661
938,1140,94,2,50661
939,1141,94,3,50661
940,1142,94,1,50017
941,1143,94,2,50017
942,1144,94,3,50017
943,1145,95,1,38688
944,1146,95,2,38688
945,1147,95,3,38688
946,1148,95,1,38814
947,1149,95,2,38814
948,1150,95,3,38814
949,1151,95,1,38588
950,1152,95,2,38588
951,1153,95,3,38588
952,1154,95,1,51280
953,1155,95,2,51280
954,1156,95,3,51280
955,1157,96,1,57527
956,1158,96,2,57527
957,1159,96,3,57527
958,1160,96,1,55460
959,1161,96,2,55460
960,1162,96,3,55460
961,1163,97,1,37322
962,1164,97,2,37322
963,1165,97,3,37322
964,1166,97,1,38489
965,1167,97,2,38489
966,1168,97,3,38489
967,1169,97,1,38384
968,1170,97,2,38384
969,1171,97,3,38384
970,1172,97,1,38170
971,1173,97,2,38170
972,1174,97,3,38170
973,1175,98,1,36915
974,1176,98,2,36915
975,1177,98,3,36915
976,1178,98,1,28704
977,1179,98,2,28704
978,1180,98,3,28704
979,1181,98,1,9517
980,1182,98,2,9517
981,1183,98,3,9517
982,1184,98,1,10128
983,1185,98,2,10128
984,1186,98,3,10128
985,1187,99,1,55323
986,1188,99,2,55323
987,1189,99,3,55323
988,1190,99,1,36832
989,1191,99,2,36832
990,1192,99,3,36832
991,1193,100,1,57312
992,1194,100,2,57312
993,1195,100,3,57312
994,1196,100,1,37454
995,1197,100,2,37454
996,1198,100,3,37454
997,1199,101,1,57969
998,1200,101,2,57969
999,1201,101,3,57969
1000,1202,101,1,55182
1001,1203,101,2,55182
1002,1204,101,3,55182
1003,1205,102,1,56814
1004,1206,102,2,56814
1005,1207,102,3,56814
1006,1208,102,1,39653
1007,1209,102,2,39653
1008,1210,102,3,39653
1009,1211,102,1,39653
1010,1212,102,2,39653
1011,1213,102,3,39653
1012,1214,102,1,77457
1013,1215,102,2,77457
1014,1216,102,3,77457
1015,1217,103,1,36720
1016,1218,103,2,36720
1017,1219,103,3,36720
1018,1220,103,1,36720
1019,1221,103,2,36720
1020,1222,103,3,36720
1021,1223,104,1,36532
1022,1224,104,2,36532
1023,1225,104,3,36532
1024,1226,104,1,35930
1025,1227,104,2,35930
1026,1228,104,3,35930
1027,1229,104,1,28078
1028,1230,104,2,28078
1029,1231,104,3,28078
1030,1232,104,1,35930
1031,1233,104,2,35930
1032,1234,104,3,35930
