ID,LID,LinkID
1491,14628,5638
1492,14629,5636
1493,14630,5634
1494,14631,5632
1495,14632,5630
1496,14633,5629
1497,14634,5627
1498,14635,5625
1499,14636,5623
1500,14637,5621
1501,14638,5619
1502,14639,5617
1503,14640,5615
1504,14641,5613
1505,14642,5610
1506,14643,5609
1507,14644,5607
1508,14645,5605
1509,14646,5603
1510,14647,5601
1511,14648,5599
1512,14649,5597
1513,14650,5595
1514,14651,5593
1515,14652,5591
1516,14653,5589
1517,14654,5587
1518,14655,5585
1519,14656,5583
1520,14657,5581
1521,14658,5579
1522,14659,5576
1523,14660,5574
1524,14661,5572
1525,14662,5571
1526,14663,5569
1527,14664,5566
1528,14665,5563
1529,14666,5561
1530,14667,5559
1531,14668,5557
1532,14669,5555
1533,14670,5553
1534,14671,5551
1535,14672,5549
1536,14673,5546
1537,14674,5544
1538,14675,5542
1539,14676,5539
1540,14677,5537
1541,14678,5535
1542,14679,5533
1543,14680,5531
1544,14681,5529
1545,14682,5527
1546,14683,5525
1547,14684,5523
1548,14685,5521
1549,14686,5519
1550,14687,5517
1551,14688,5515
1552,14689,5513
1553,14690,5511
1554,14691,5509
1555,14692,5507
1556,14693,5506
1557,14694,5503
1558,14695,5501
1559,14696,5500
1560,14697,5498
1561,14698,5496
1562,14699,5493
1563,14700,5491
1564,14701,5489
1565,14702,5487
1566,14703,5485
1567,14704,5483
1568,14705,5482
1569,14706,5481
1570,14707,5480
1571,14708,5480
1572,14709,5479
1573,14710,5479
1574,14711,5479
1575,14712,5479
1576,14713,5376
1577,14714,5379
1578,14715,5382
1579,14716,5384
1580,14717,5386
1581,14718,5388
1582,14719,5390
1583,14720,5392
1584,14721,5394
1585,14722,5396
1586,14723,5398
1587,14724,5399
1588,14725,5401
1589,14726,5403
1590,14727,5405
1591,14728,5407
1592,14729,5410
1593,14730,5412
1594,14731,5414
1595,14732,5415
1596,14733,5417
1597,14734,5419
1598,14735,5421
1599,14736,5423
1600,14737,5426
1601,14738,5428
1602,14739,5429
1603,14740,5431
1604,14741,5433
1605,14742,5435
1606,14743,5437
1607,14744,5439
1608,14745,5442
1609,14746,5444
1610,14747,5446
1611,14748,5448
1612,14749,5450
1613,14750,5453
1614,14751,5455
1615,14752,5456
1616,14753,5459
1617,14754,5461
1618,14755,5462
1619,14756,5464
1620,14757,5466
1621,14758,5468
1622,14759,5470
1623,14760,5472
1624,14761,5474
1625,14762,5476
1626,14763,5478
1627,14764,5480
1628,14765,5482
1629,14766,5484
1630,14767,5486
1631,14768,5488
1632,14769,5490
1633,14770,5492
1634,14771,5494
1635,14772,5497
1636,14773,5499
1637,14774,5500
1638,14775,5502
1639,14776,5504
